Drug name,Drug ID,Drug target,Target Pathway,Feature Name,n_feature_pos,n_feature_neg,ic50_effect_size,log_ic50_mean_pos,log_ic50_mean_neg,log_max_conc_tested,log_max_conc_tested_2,feature_ic50_t_pval,feature_delta_mean_ic50,feature_pos_ic50_var,feature_neg_ic50_var,feature_pval,tissue_pval,msi_pval,fdr,Tissue Type,Screening Set
"Camptothecin","1003","TOP1","DNA replication","ARID1A_mut","5","45",".69094725305493554","-1.8425837113179444","-.61426184842094056","","",".049674246253055596","-1.2283218628970038","1.0016289452288458","1.8320601023942473",".14924498457913377","","","60.941702036479626","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","ASH1L_mut","3","47",".94361249521097801","-2.3082683136139033","-.63680631478064553","","",".096959560264905625","-1.6714619988332577","1.0788896422288443","1.7954023012582723",".11962547415917688","","","60.941702036479626","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","BRCA1_mut","4","46",".016158217822781623","-.76410573195999199","-.73474519147156703","","",".96686295286237611","-.029360540488424958","1.2177868959503573","1.8501284424671305",".97540059213761521","","","99.466671648805089","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","BRCA2_mut","6","44",".24722943331007952","-1.1310998977912741","-.6833659624723728","","",".69176370127130715","-.44773393531890127","2.5502481451970498","1.7043636656987924",".57262192806793955","","","87.394231854311329","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","CDH1_mut","5","45",".089101849492503646","-.59143326480066627","-.75327856470063825","","",".87357556550944104",".16184529989997198","2.0695617850799684","1.7916210093676292",".85087912987369507","","","99.128808505676716","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","MACF1_mut","3","47",".004001245310904877","-.73025967612276454","-.73753027036518626","","",".98294895471787858",".0072705942424217129",".34035130498095267","1.8548071879518579",".99466671648805094","","","99.466671648805089","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","NF1_mut","4","46",".26949062838842303","-1.18635710539138","-.69802768073840293","","",".31718771758332548","-.48832942465297702",".72491618353973464","1.8620896837833958",".60754929488547504","","","87.558574851141998","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","PIK3CA_mut","16","34",".10143344804927391","-.611907040227052","-.79600556152644764","","",".76757066393813833",".18409852129939563","2.2006502507248453","1.6093891440240007",".73940207843235373","","","97.755722491588898","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","POLR2B_mut","3","47",".09455843947412694","-.8985629940873413","-.72678750538872394","","",".90619622868288174","-.17177548869861736","2.2074902743320841","1.7976847286486983",".87450006368480204","","","99.128808505676716","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","PTEN_mut","10","40",".47191860939293873","-1.4107186794497808","-.56868787352585604","","",".1603893437628712","-.84203080592392476","1.5586688228601362","1.8323930687514542",".18824288663683364","","","66.918908978525508","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","TP53_mut","38","12",".28353052494905473","-.61437996419719842","-1.1256885913365424","","",".45287525198233969",".511308627139344","1.7081318037964488","2.0921138704836584",".39611759322597917","","","80.874008616970755","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA5","6","44",".52813510879712533",".094746947853772426","-.85052689596942477","","",".26537992379442948",".94527384382319724","1.7801774360701186","1.7909527790344058",".2308528851733142","","","67.433567255119385","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA7","4","46",".59731493453755613","-1.7222526893611936","-.65142806474102777","","",".091023451367997735","-1.0708246246201658",".89741999755038571","1.8369676520159917",".25753839856169813","","","70.10767516401782","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA8","4","46",".11284612435977945","-.54853926889899451","-.75349010130295813","","",".83430377208310935",".20495083240396361","1.7422945186085572","1.8210175733094569",".8295338277028077","","","99.128808505676716","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA9","4","46",".20736289398523175","-.39101193845076715","-.76718813003758657","","",".67307307603538491",".37617619158681942","1.5568324375978215","1.829961386362938",".69254791435292229","","","94.263466120258883","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA10","5","45",".21255716478802703","-.39021714274627828","-.77563591159557022","","",".6239697495988441",".38541876884929194","1.5407792166165886","1.8360135100295492",".65409070309525763","","","91.572698433336058","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA12","10","40",".58920047418978683",".095654748633588388","-.94528123054669833","","",".078309143814213542","1.0409359791802868","1.4972010657784667","1.8232346045984242",".10212512395843827","","","60.941702036479626","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA13","11","39",".35749574484458146","-.2360965585335664","-.87840101517084146","","",".33343221519611677",".64230445663727509","1.915198511786975","1.7641644665600864",".30026866509884886","","","74.074276415104691","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA14","22","28",".28740033837588419","-.44769655235431161","-.96447777084775699","","",".31531422524093877",".51678121849344538","1.7455799609612308","1.8379519807584033",".31814277751514924","","","74.074276415104691","BRCA","GDSC2"
"Camptothecin","1003","TOP1","DNA replication","cnaBRCA15","23","27",".5170850150409142","-.2464071317988327","-1.1550865816355147","","",".074805964398659122",".90867944983668203","1.7572203199669205","1.7573886715882001",".074640594534712251","","","60.941702036479626","BRCA","GDSC2"
